v2.0
254 6
2	3	3	3	3   3
0	
0	
0	
0	
0
0
0
0   0   0   0   0   0
1   1   0   0   0   1
0   2   0   0   0   2
1   0   0   0   1   0
0   0   0   0   1   1
1   1   0   0   1   2
0   2   0   0   2   0
1   0   0   0   2   1
0   0   0   0   2   2
1   0   0   1   0   0
0   1   0   1   0   1
0   2   0   1   0   2
1   0   0   1   1   0
1   1   0   1   1   1
0   2   0   1   1   2
0   0   0   1   2   0
1   1   0   1   2   1
1   1   0   1   2   2
0   2   0   2   0   0
0   0   0   2   0   1
1   1   0   2   0   2
1   1   0   2   1   0
0   1   0   2   1   1
0   2   0   2   1   2
1   0   0   2   2   0
1   1   0   2   2   1
0   2   0   2   2   2
0   0   1   0   0   0
1   1   1   0   0   1
1   2   1   0   0   2
0   2   1   0   1   0
0   0   1   0   1   1
0   1   1   0   1   2
1   2   1   0   2   0
1   2   1   0   2   1
1   2   1   0   2   2
0   0   1   1   0   0
0   1   1   1   0   1
0   2   1   1   0   2
1   0   1   1   1   0
1   0   1   1   1   1
1   1   1   1   1   2
0   2   1   1   2   0
0   0   1   1   2   1
0   0   1   1   2   2
1   0   1   2   0   0
1   1   1   2   0   1
1   2   1   2   0   2
0   0   1   2   1   0
0   1   1   2   1   1
0   2   1   2   1   2
1   0   1   2   2   0
1   1   1   2   2   1
1   1   1   2   2   2
0   2   2   0   0   0
0   0   2   0   0   1
0   1   2   0   0   2
1   1   2   0   1   0
1   1   2   0   1   1
1   2   2   0   1   2
0   0   2   0   2   0
0   1   2   0   2   1
0   2   2   0   2   2
0   0   2   1   0   0
1   1   2   1   0   1
1   2   2   1   0   2
1   2   2   1   1   0
1   0   2   1   1   1
0   1   2   1   1   2
0   2   2   1   2   0
0   2   2   1   2   1
0   2   2   1   2   2
1   0   2   2   0   0
1   1   2   2   0   1
1   2   2   2   0   2
1   0   2   2   1   0
0   0   2   2   1   1
0   1   2   2   1   2
0   2   2   2   2   0
0   0   2   2   2   1
1   0   2   2   2   2
0   0   0   0   0   2
0   1   1   0   0   0
1   2   0   0   0   0
1   2   0   0   0   1
0   0   0   0   0   0
1   1   0   0   0   1
0   2   0   0   0   2
1   0   0   0   1   0
0   0   0   0   1   1
1   1   0   0   1   2
0   2   0   0   2   0
1   0   0   0   2   1
0   0   0   0   2   2
1   0   0   1   0   0
0   1   0   1   0   1
0   2   0   1   0   2
1   0   0   1   1   0
1   1   0   1   1   1
0   2   0   1   1   2
0   0   0   1   2   0
1   1   0   1   2   1
1   1   0   1   2   2
0   2   0   2   0   0
0   0   0   2   0   1
1   1   0   2   0   2
1   1   0   2   1   0
0   1   0   2   1   1
0   2   0   2   1   2
1   0   0   2   2   0
1   1   0   2   2   1
0   2   0   2   2   2
0   0   1   0   0   0
1   1   1   0   0   1
1   2   1   0   0   2
0   2   1   0   1   0
0   0   1   0   1   1
0   1   1   0   1   2
1   2   1   0   2   0
1   2   1   0   2   1
1   2   1   0   2   2
0   0   1   1   0   0
0   1   1   1   0   1
0   2   1   1   0   2
1   0   1   1   1   0
1   0   1   1   1   1
1   1   1   1   1   2
0   2   1   1   2   0
0   0   1   1   2   1
0   0   1   1   2   2
1   0   1   2   0   0
1   1   1   2   0   1
1   2   1   2   0   2
0   0   1   2   1   0
0   1   1   2   1   1
0   2   1   2   1   2
1   0   1   2   2   0
1   1   1   2   2   1
1   1   1   2   2   2
0   2   2   0   0   0
0   0   2   0   0   1
0   1   2   0   0   2
1   1   2   0   1   0
1   1   2   0   1   1
1   2   2   0   1   2
0   0   2   0   2   0
0   1   2   0   2   1
0   2   2   0   2   2
0   0   2   1   0   0
1   1   2   1   0   1
1   2   2   1   0   2
1   2   2   1   1   0
1   0   2   1   1   1
0   1   2   1   1   2
0   2   2   1   2   0
0   2   2   1   2   1
0   2   2   1   2   2
1   0   2   2   0   0
1   1   2   2   0   1
1   2   2   2   0   2
1   0   2   2   1   0
0   0   2   2   1   1
0   1   2   2   1   2
0   2   2   2   2   0
0   0   2   2   2   1
1   0   2   2   2   2
0   0   0   0   0   2
0   1   1   0   0   0
1   2   0   0   0   0
1   2   0   0   0   1
0   0   0   0   0   0
1   1   0   0   0   1
0   2   0   0   0   2
1   0   0   0   1   0
0   0   0   0   1   1
1   1   0   0   1   2
0   2   0   0   2   0
1   0   0   0   2   1
0   0   0   0   2   2
1   0   0   1   0   0
0   1   0   1   0   1
0   2   0   1   0   2
1   0   0   1   1   0
1   1   0   1   1   1
0   2   0   1   1   2
0   0   0   1   2   0
1   1   0   1   2   1
1   1   0   1   2   2
0   2   0   2   0   0
0   0   0   2   0   1
1   1   0   2   0   2
1   1   0   2   1   0
0   1   0   2   1   1
0   2   0   2   1   2
1   0   0   2   2   0
1   1   0   2   2   1
0   2   0   2   2   2
0   0   1   0   0   0
1   1   1   0   0   1
1   2   1   0   0   2
0   2   1   0   1   0
0   0   1   0   1   1
0   1   1   0   1   2
1   2   1   0   2   0
1   2   1   0   2   1
1   2   1   0   2   2
0   0   1   1   0   0
0   1   1   1   0   1
0   2   1   1   0   2
1   0   1   1   1   0
1   0   1   1   1   1
1   1   1   1   1   2
0   2   1   1   2   0
0   0   1   1   2   1
0   0   1   1   2   2
1   0   1   2   0   0
1   1   1   2   0   1
1   2   1   2   0   2
0   0   1   2   1   0
0   1   1   2   1   1
0   2   1   2   1   2
1   0   1   2   2   0
1   1   1   2   2   1
1   1   1   2   2   2
0   2   2   0   0   0
0   0   2   0   0   1
0   1   2   0   0   2
1   1   2   0   1   0
1   1   2   0   1   1
1   2   2   0   1   2
0   0   2   0   2   0
0   1   2   0   2   1
0   2   2   0   2   2
0   0   2   1   0   0
1   1   2   1   0   1
1   2   2   1   0   2
1   2   2   1   1   0
1   0   2   1   1   1
0   1   2   1   1   2
0   2   2   1   2   0
0   2   2   1   2   1
0   2   2   1   2   2
1   0   2   2   0   0
1   1   2   2   0   1
1   2   2   2   0   2
1   0   2   2   1   0
0   0   2   2   1   1
0   1   2   2   1   2
0   2   2   2   2   0
0   0   2   2   2   1
1   0   2   2   2   2
0   0   0   0   0   2
0   1   1   0   0   0
1   2   0   0   0   0

Notes:

- Made up to have (1, 2, 1)-detection, then copy-pasted for (1, 2, 2)-detection.
