v2.0
20	6
2	3	3	3	3   3
0	
0	
0	
0	
0
0
0
0   0   1   2   2   1
0   1   0   1   2   2
0   2   1   0   1   2
0   2   2   1   0   1
0   1   2   2   1   0
1   0   2   1   1   2
1   2   0   2   1   1
1   1   2   0   2   1
1   1   1   2   0   2
1   2   1   1   2   0
1   1   2   0   0   2
1   2   1   2   0   0
1   0   2   1   2   0
1   0   0   2   1   2
1   2   0   0   2   1
0   1   0   2   2   0
0   0   1   0   2   2
0   2   0   1   0   2
0   2   2   0   1   0
0   0   2   2   0   1

Notes:

Should be (1, 1)-locating.
Should be (1, 1)-detecting.

Should be (1, 2)-locating.
Should not be (1, 2)-detecting.

Should be (2, 1)-locating.
Should not be (2, 1)-detecting.
